feature,importance,method
day_of_year_cos,0.03667924497570407,permutation_mae_on_validation_sample
ndvi,0.03103566507474298,permutation_mae_on_validation_sample
air_temperature_c,0.004780935558388766,permutation_mae_on_validation_sample
impervious_fraction,0.0035630912545956406,permutation_mae_on_validation_sample
building_density,0.0015720637107876634,permutation_mae_on_validation_sample
distance_to_green_m,0.0002823411541075238,permutation_mae_on_validation_sample
road_density,0.00018339960149083012,permutation_mae_on_validation_sample
elevation_m,0.00015904530573074283,permutation_mae_on_validation_sample
slope_deg,0.0,permutation_mae_on_validation_sample
ndbi,0.0,permutation_mae_on_validation_sample
distance_to_water_m,0.0,permutation_mae_on_validation_sample
relative_humidity_pct,0.0,permutation_mae_on_validation_sample
wind_speed_ms,0.0,permutation_mae_on_validation_sample
shortwave_radiation_wm2,0.0,permutation_mae_on_validation_sample
day_of_year_sin,0.0,permutation_mae_on_validation_sample
