pixel_id,date,x_m,y_m,lon,lat,elevation_m,slope_deg,ndvi,ndbi,building_density,road_density,impervious_fraction,distance_to_water_m,distance_to_park_m,air_temperature_c,relative_humidity_pct,wind_speed_ms,shortwave_radiation_wm2,day_of_year_sin,day_of_year_cos,landsat_cloud_fraction,lst_c
P000000,2019-06-24,698036.4,3.7548e+06,-6.858671577078355,33.92161170616971,35.706284,4.784099,0.036767133,0.068802975,0.1505069,0.34485477,0.2260539,4925.941,6179.061,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,36.143295
P000001,2019-06-24,698298.2,3.7548e+06,-6.855835366801242,33.92161170616971,35.510487,5.0380545,0.047893062,0.004458284,0.10667988,0.37467647,0.20581257,5185.1943,5961.4844,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,34.352825
P000002,2019-06-24,698560.0,3.7548e+06,-6.852999156524127,33.92161170616971,37.349754,5.262001,0.027456654,0.1009896,0.17236313,0.3952671,0.25899756,5444.4478,5747.366,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,36.349976
P000003,2019-06-24,698821.8,3.7548e+06,-6.850162946247012,33.92161170616971,40.02206,5.4543157,0.069401674,0.093929775,0.1817684,0.4001108,0.26727656,5703.701,5537.1084,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,35.100235
P000004,2019-06-24,699083.6,3.7548e+06,-6.847326735969899,33.92161170616971,40.464233,5.613603,0.035549294,0.087013714,0.08300178,0.3880156,0.19390641,5962.955,5331.1675,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,33.921333
P000005,2019-06-24,699345.44,3.7548e+06,-6.844490525692784,33.92161170616971,39.542316,5.7387085,0.08406322,0.02089087,0.10779843,0.3635131,0.2026878,6222.2085,5130.063,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,34.305164
P000006,2019-06-24,699607.25,3.7548e+06,-6.841654315415671,33.92161170616971,43.23411,5.8287244,0.0012578457,0.019750942,0.1595467,0.33530623,0.22903834,6481.462,4934.3867,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,35.4824
P000007,2019-06-24,699869.06,3.7548e+06,-6.838818105138556,33.92161170616971,42.374752,5.882998,0.021157363,0.043838926,0.14528109,0.31329557,0.21134704,6740.7153,4744.81,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,36.144123
P000008,2019-06-24,700130.94,3.7548e+06,-6.835981894861443,33.92161170616971,46.598476,5.901136,0.06291897,0.08631402,0.1565934,0.3051985,0.21642861,7000.031,4562.0503,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,35.117424
P000009,2019-06-24,700392.75,3.7548e+06,-6.833145684584329,33.92161170616971,47.354813,5.882998,0.08675095,0.038910314,0.12769176,0.313917,0.19924352,7259.2847,4387.053,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,35.30575
P000010,2019-06-24,700654.56,3.7548e+06,-6.8303094743072155,33.92161170616971,47.689293,5.8287244,0.056237344,0.030231697,0.1882168,0.33653384,0.24951796,7518.538,4220.7334,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,33.844437
P000011,2019-06-24,700916.4,3.7548e+06,-6.8274732640301,33.92161170616971,48.73639,5.7387085,0.035123624,0.098103955,0.18406752,0.365317,0.2566736,7777.7915,4064.1572,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,35.21163
P000012,2019-06-24,701178.2,3.7548e+06,-6.824637053752987,33.92161170616971,49.491753,5.613603,0.050874025,0.094327316,0.15808298,0.39035222,0.24722634,8037.045,3918.492,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,33.092033
P000013,2019-06-24,701440.0,3.7548e+06,-6.821800843475873,33.92161170616971,51.73853,5.4543157,0.06951647,0.09121786,0.19368516,0.40292495,0.27652046,8296.299,3784.9978,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097,0.067421794,34.08636
