date,air_temperature_c,relative_humidity_pct,wind_speed_ms,shortwave_radiation_wm2,day_of_year_sin,day_of_year_cos
2019-06-24,27.760702,59.280655,3.4438112,870.7861,0.13079268,-0.9914097
2019-08-11,25.49991,62.654766,3.042319,788.78754,-0.64003813,-0.76834315
2020-06-10,27.298098,61.887188,3.6147425,800.7326,0.3474028,-0.937716
2020-07-28,30.231647,54.19498,3.8355184,856.25195,-0.45370308,-0.8911529
2021-06-29,28.872353,60.111835,3.3298643,848.782,0.04514102,-0.99898064
2021-08-16,28.428194,52.7451,3.5559735,787.57605,-0.7036774,-0.7105196
2022-06-16,26.299437,64.0169,2.42202,742.22253,0.26556304,-0.9640935
2022-07-18,29.2823,57.371857,4.049895,846.85895,-0.27797914,-0.9605871
2022-08-19,30.439442,59.11815,3.3970127,763.7446,-0.7393923,-0.6732749
2023-06-03,26.77326,60.974735,4.4207892,777.65393,0.47275922,-0.8811917
2023-07-21,28.890497,54.25951,0.8,766.78516,-0.32716033,-0.9449688
2023-08-22,27.86486,53.393627,1.4564574,838.2515,-0.77313834,-0.63423747
2024-06-21,27.47038,66.86322,1.8211538,693.4778,0.16481784,-0.986324
2024-07-23,30.012533,56.434746,3.5387607,831.02844,-0.37547037,-0.9268344
2024-08-24,30.885729,58.02948,3.1006806,788.4729,-0.8048257,-0.59351116
2025-06-08,29.672726,60.38465,3.2414825,866.63446,0.3953118,-0.918547
2025-07-26,28.85003,60.27346,4.2997785,893.59973,-0.4071295,-0.91337043
2025-08-27,26.62244,61.84951,2.8937886,743.53687,-0.8247651,-0.5654755
